Bin Edge Start,Bin Edge End,Count
0.0,4094.3333333333335,11
4094.3333333333335,8188.666666666667,3
8188.666666666667,12283.0,0
12283.0,16377.333333333334,0
16377.333333333334,20471.666666666668,11
20471.666666666668,24566.0,4
24566.0,28660.333333333336,19
28660.333333333336,32754.666666666668,2
32754.666666666668,36849.0,6
36849.0,40943.333333333336,1
40943.333333333336,45037.66666666667,22
45037.66666666667,49132.0,3
49132.0,53226.333333333336,6
53226.333333333336,57320.66666666667,11
57320.66666666667,61415.0,46
61415.0,65509.333333333336,440
65509.333333333336,69603.66666666667,118
69603.66666666667,73698.0,13
73698.0,77792.33333333334,9
77792.33333333334,81886.66666666667,7
81886.66666666667,85981.0,3
85981.0,90075.33333333334,0
90075.33333333334,94169.66666666667,1
94169.66666666667,98264.0,0
98264.0,102358.33333333334,1
102358.33333333334,106452.66666666667,0
106452.66666666667,110547.0,0
110547.0,114641.33333333334,0
114641.33333333334,118735.66666666667,1
118735.66666666667,122830.0,1
